"ee.Taxon","N","Definition"
"human",3,"Teleostomi"
"human",3,"Euteleostomi"
"human",3,"cellular organisms"
"human",3,"Dipnotetrapodomorpha"
"human",3,"Boreoeutheria"
"human",3,"Myomorpha"
"human",3,"Eukaryota"
"human",3,"Euarchontoglires"
"human",3,"Glires"
"human",3,"Tetrapoda"
"human",3,"Amniota"
"human",3,"Theria <Mammalia>"
"human",3,"Opisthokonta"
"human",3,"Metazoa"
"human",3,"Bilateria"
"human",3,"Deuterostomia"
"human",3,"Muroidea"
"human",3,"Murinae"
"human",3,"Mammalia"
"human",3,"Eumetazoa"
"human",3,"Chordata"
"human",3,"Vertebrata <Metazoa>"
"human",3,"Gnathostomata <vertebrate>"
"human",3,"Sarcopterygii"
"human",3,"Mus <mouse, subgenus>"
"human",3,"Craniata <chordata>"
"human",3,"Eutheria"
"human",3,"Rodentia"
"mouse",3,"shoulder"
"mouse",3,"shoulder connective tissue"
"mouse",3,"interscapular fat pad"
"mouse",3,"visceral fat"
"mouse",3,"skin epithelium"
"human",3,"right cardiac chamber"
"human",3,"trophoblast"
"mouse",3,"transitional stage B cell"
"mouse",3,"T1 B cell"
"human",3,"CD14-positive, CD16-negative classical monocyte"
"human",3,"nasal cavity respiratory epithelium"
"human",3,"respiratory segment of nasal mucosa"
"human",3,"pancreatic stellate cell"
"mouse",3,"lateral motor column neuron"
"mouse",3,"spinal cord motor column"
"mouse",3,"spinal cord medial motor column"
"human",3,"white adipose tissue"
"human",3,"Kit and Sca1-positive hematopoietic stem cell"
"human",3,"short term hematopoietic stem cell"
"human",3,"long term hematopoietic stem cell"
"human",3,"sclera"
"mouse",3,"Muller cell"
"human",3,"somatosensory cortex"
"human",3,"primary somatosensory cortex"
"rat",3,"arm"
"rat",3,"forelimb"
"rat",3,"pectoral appendage"
"rat",3,"upper limb segment"
"rat",3,"pectoral complex"
"mouse",3,"middle ear"
"mouse",3,"ear epithelium"
"human",3,"hyaline cartilage tissue"
"human",3,"cell activation"
"human",3,"immune system process"
"human",3,"leukocyte activation"
"human",3,"lymphocyte activation"
"mouse",3,"head blood vessel"
"mouse",3,"systemic artery"
"mouse",3,"cranial blood vasculature"
"mouse",3,"organelle"
"rat",3,"blood vessel endothelial cell"
"rat",3,"endothelial cell of vascular tree"
"rat",3,"endothelium"
"rat",3,"blood vessel endothelium"
"rat",3,"cardiovascular system endothelium"
"mouse",3,"biliary tree"
"mouse",3,"biliary system"
"mouse",3,"bile duct"
"rat",3,"zone of skin"
"human",3,"middle frontal gyrus"
"human",3,"CA3 field of hippocampus"
"mouse",3,"olfactory bulb layer"
"human",3,"myotube"
"mouse",3,"trunk blood vessel"
"human",3,"prostate stromal cell"
"human",3,"head bone"
"human",3,"cranial bone"
"human",3,"bone of craniocervical region"
"human",3,"receptor cell"
"human",3,"cartilage element"
"human",3,"CD4-positive, CD25-positive, alpha-beta regulatory T cell"
"human",3,"prostate epithelium"
"mouse",3,"CD4-positive, CD8-intermediate double-positive thymocyte"
"human",3,"preadipocyte"
"human",3,"basophilic erythroblast"
"human",3,"polychromatophilic erythroblast"
"human",3,"orthochromatic erythroblast"
"rat",3,"smooth muscle cell"
"rat",3,"vascular associated smooth muscle cell"
"rat",3,"non-striated muscle cell"
"rat",3,"visceral muscle cell"
"mouse",3,"cartilage tissue"
"mouse",3,"early lymphoid progenitor"
"mouse",3,"trophoblast"
"mouse",3,"layer of dentate gyrus"
"human",3,"uterine epithelium"
"human",3,"occipital cortex"
"rat",3,"spermatocyte"
"rat",3,"spermatid"
"mouse",3,"alveolar macrophage"
"mouse",3,"lung macrophage"
"mouse",3,"elicited macrophage"
"mouse",3,"alternatively activated macrophage"
"mouse",3,"naive B cell"
"mouse",3,"pulmonary acinus"
"mouse",3,"lobule"
"mouse",3,"pulmonary lobule"
"mouse",3,"ciliated epithelial cell"
"human",3,"corneal epithelial cell"
"mouse",3,"eosinophil"
"mouse",3,"natural T-regulatory cell"
"mouse",3,"enteric nervous system"
"mouse",3,"osteocyte"
"mouse",3,"bone tissue"
"mouse",3,"biological role"
"mouse",3,"inhibitor"
"mouse",3,"role"
"mouse",3,"cortical granule cell"
"mouse",3,"dentate gyrus of hippocampal formation granule cell"
"mouse",3,"pyramidal layer of CA1"
"mouse",3,"pyramidal layer of CA3"
"mouse",3,"layer of CA1 field"
"mouse",3,"layer of CA3 field"
"mouse",3,"CNS interneuron"
"mouse",3,"primary visual cortex"
"mouse",3,"Brodmann area"
"mouse",3,"shell of nucleus accumbens"
"mouse",3,"enteroendocrine cell"
"mouse",3,"pancreatic endocrine cell"
"mouse",3,"white matter of spinal cord"
"mouse",3,"funiculus of spinal cord"
"mouse",3,"funiculus of neuraxis"
"mouse",3,"vagus X ganglion"
"mouse",3,"inferior vagus X ganglion"
"human",3,"GABAergic neuron"
"human",3,"central nervous system pericyte"
"human",3,"brain pericyte"
"mouse",3,"neurectoderm"
"mouse",3,"vestibulocochlear nerve"
"mouse",3,"cranial nerve"
"mouse",3,"cochlear nerve"
"mouse",3,"nerve of head region"
"mouse",3,"cranial neuron projection bundle"
"mouse",3,"prevertebral ganglion"
"mouse",3,"myelin"
"human",3,"brain macroglial cell"
"mouse",3,"optic fissure"
"mouse",3,"surface groove"
"mouse",3,"ventral part of optic cup"
"mouse",3,"meninx"
"mouse",3,"nursing stage"
"mouse",3,"infant stage"
"human",3,"anucleate cell"
"human",3,"platelet"
"mouse",2,"neuroblast (sensu Vertebrata)"
"mouse",2,"granule cell precursor"
"mouse",2,"circulating cell"
"mouse",2,"peripheral blood mononuclear cell"
"mouse",2,"wall of stomach"
"mouse",2,"mucosa of stomach"
"mouse",2,"layer of synovial tissue"
"mouse",2,"left colon"
"mouse",2,"occipital cortex"
"human",2,"gray matter of spinal cord"
"mouse",2,"descending colon"
"mouse",2,"zone of stomach"
"mouse",2,"auditory hair cell"
"mouse",2,"ear hair cell"
"mouse",2,"auditory epithelial cell"
"mouse",2,"spiral organ of cochlea"
"mouse",2,"cytotoxic T cell"
"human",2,"prime adult stage"
"mouse",2,"oculomotor nuclear complex"
"mouse",2,"cortical layer II"
"mouse",2,"cortical layer III"
"rat",2,"neuronal stem cell"
"human",2,"posterior cingulate gyrus"
"mouse",2,"pharyngeal arch"
"mouse",2,"pharyngeal arch system"
"mouse",2,"embryonic head"
"mouse",2,"pharyngeal region of foregut"
"mouse",2,"protuberance"
"rat",2,"somatic stem cell"
"rat",2,"neuroepithelial stem cell"
"human",2,"periventricular zone of hypothalamus"
"human",2,"hypothalamic nucleus"
"human",2,"left temporal lobe"
"human",2,"left cerebral hemisphere"
"human",2,"urethra"
"human",2,"pharyngeal mucosa"
"human",2,"renal medulla"
"human",2,"fundus of stomach"
"human",2,"trigeminal ganglion"
"human",2,"cranial ganglion"
"human",2,"ventral thalamus"
"human",2,"subthalamic nucleus"
"human",2,"nipple"
"human",2,"vestibular nuclear complex"
"human",2,"ventral nuclear group"
"human",2,"leg blood vessel"
"human",2,"limb blood vessel"
"human",2,"hindlimb blood vessel"
"human",2,"lower leg blood vessel"
"human",2,"vagus X ganglion"
"human",2,"inferior vagus X ganglion"
"human",2,"superior vestibular nucleus"
"human",2,"vestibular nucleus"
"human",2,"appendage blood vessel"
"human",2,"appendage vasculature"
"human",2,"saphenous vein"
"human",2,"epibranchial ganglion"
"human",2,"nucleus of ventral thalamus"
"human",2,"vasculature of integument"
"human",2,"superficial vein"
"mouse",2,"olfactory epithelial cell"
"human",2,"sural nerve"
"mouse",2,"uterine horn"
"rat",2,"eighth thoracic spinal cord segment"
"human",2,"Brodmann (1909) area 8"
"mouse",2,"small pre-B-II cell"
"rat",2,"anterior segment of eyeball"
"rat",2,"thymus"
"rat",2,"hemolymphoid system gland"
"human",2,"optic disc"
"human",2,"endothelium of vein"
"human",2,"venous system endothelium"
"human",2,"umbilical vein endothelium"
"human",2,"macula"
"human",2,"ear"
"human",2,"iris"
"human",2,"internal ear"
"rat",2,"glycosaminoglycan secreting cell"
"rat",2,"extracellular matrix secreting cell"
"rat",2,"carbohydrate secreting cell"
"rat",2,"stromal cell"
"rat",2,"synovial joint"
"mouse",2,"morula"
"rat",2,"medium spiny neuron"
"rat",2,"myocardium"
"rat",2,"heart layer"
"rat",2,"ear"
"human",2,"gingival epithelial cell"
"human",2,"gingival epithelium"
"human",2,"jaw epithelium"
"human",2,"section of aorta"
"rat",2,"outer medulla of kidney"
"human",2,"metaphysis"
"human",2,"diaphysis of femur"
"rat",2,"hyaline cartilage tissue"
"mouse",2,"visceral abdominal adipose tissue"
"mouse",2,"cell layer"
"mouse",2,"granulosa cell layer"
"mouse",2,"otolith organ"
"mouse",2,"calcareous tooth"
"mouse",2,"tooth-like structure"
"rat",2,"renal glomerulus"
"rat",2,"renal corpuscle"
"rat",2,"nephron"
"rat",2,"kidney epithelium"
"rat",2,"excretory tube"
"rat",2,"uriniferous tubule"
"human",2,"globus pallidus"
"human",2,"substantia nigra pars reticulata"
"human",2,"medial globus pallidus"
"human",2,"thoracic cavity vein"
"human",2,"vena cava"
"human",2,"muscle of vertebral column"
"human",2,"pallidum"
"mouse",2,"epithelial cell of tracheobronchial tree"
"mouse",2,"epithelial cell of lower respiratory tract"
"rat",2,"white adipose tissue"
"human",2,"Brodmann (1909) area 10"
"rat",2,"caudate-putamen"
"mouse",2,"aortic endothelial cell"
"mouse",2,"endothelial cell of artery"
"mouse",2,"endothelium of artery"
"mouse",2,"endothelial tube"
"mouse",2,"arterial system endothelium"
"rat",2,"colonic epithelium"
"rat",2,"epithelium of large intestine"
"rat",2,"islet of Langerhans"
"rat",2,"endocrine pancreas"
"rat",2,"pancreas"
"human",2,"macula lutea"
"rat",2,"wall of small intestine"
"rat",2,"axon"
"rat",2,"cell projection"
"rat",2,"neuron projection"
"rat",2,"cellular anatomical entity"
"rat",2,"plasma membrane bounded cell projection"
"human",2,"epithelial cell of amnion"
"human",2,"midgut"
"human",2,"innominate bone"
"human",2,"ilium"
"human",2,"hip"
"human",2,"trunk bone"
"human",2,"abdominal segment bone"
"human",2,"girdle bone/zone"
"human",2,"pelvic girdle bone/zone"
"human",2,"pelvic girdle skeleton"
"human",2,"girdle skeleton"
"human",2,"iliac endochondral element"
"rat",2,"septal nuclear complex"
"rat",2,"sensory circumventricular organ"
"rat",2,"extensor muscle"
"rat",2,"extensor digitorum longus"
"rat",2,"vasculature of head"
"rat",2,"head blood vessel"
"rat",2,"circle of Willis"
"rat",2,"cerebral artery"
"rat",2,"cranial blood vasculature"
"human",2,"mature conventional dendritic cell"
"human",2,"choroid plexus"
"human",2,"brain ventricle/choroid plexus"
"human",2,"brain ventricle"
"human",2,"ventricular system of central nervous system"
"human",2,"ventricular system of brain"
"human",2,"tela choroidea"
"human",2,"ventricle of nervous system"
"human",2,"vascular plexus"
"human",2,"vasculature of central nervous system plus retina"
"human",2,"vasculature of central nervous system"
"mouse",2,"lung parenchyma"
"mouse",2,"median ovary"
"rat",2,"mesothelial cell"
"rat",2,"protein secreting cell"
"rat",2,"Sertoli cell"
"rat",2,"androgen binding protein secreting cell"
"rat",2,"seminiferous tubule epithelial cell"
"rat",2,"mesothelium"
"rat",2,"seminiferous tubule of testis"
"rat",2,"seminiferous tubule epithelium"
"rat",2,"epithelium of male gonad"
"rat",2,"epithelial layer of duct"
"human",2,"hindlimb zeugopod muscle"
"human",2,"musculature of hindlimb zeugopod"
"mouse",2,"fetal cardiomyocyte"
"mouse",2,"fibroblast of cardiac tissue"
"mouse",2,"skin gland"
"mouse",2,"midface"
"mouse",2,"epidermis gland"
"human",2,"upper lobe of lung"
"human",2,"lower lobe of lung"
"human",2,"bronchiole"
"rat",2,"cerebellar cortex"
"rat",2,"oviduct"
"rat",2,"uterus"
"rat",2,"subdivision of oviduct"
"mouse",2,"stria vascularis of cochlear duct"
"mouse",2,"orifice"
"mouse",2,"oral opening"
"mouse",2,"frontonasal prominence"
"mouse",2,"mandibular prominence"
"mouse",2,"maxillary prominence"
"mouse",2,"embryonic nasal process"
"mouse",2,"embryonic facial prominence"
"mouse",2,"cell part"
"mouse",2,"plasma membrane"
"mouse",2,"membrane"
"mouse",2,"T cell receptor complex"
"mouse",2,"receptor complex"
"mouse",2,"cell periphery"
"mouse",2,"membrane protein complex"
"mouse",2,"plasma membrane protein complex"
"mouse",2,"plasma membrane signaling receptor complex"
"mouse",2,"cardiac muscle tissue of myocardium"
"mouse",2,"anatomical junction"
"rat",2,"respiratory tube"
"rat",2,"tracheobronchial tree"
"rat",2,"lumbar spinal cord dorsal horn"
"mouse",2,"excretory cell"
"mouse",2,"glomerular visceral epithelial cell"
"mouse",2,"renal filtration cell"
"mouse",2,"epithelial cell of glomerular capsule"
"mouse",2,"kidney glomerular epithelial cell"
"mouse",2,"kidney corpuscule cell"
"mouse",2,"glomerular cell"
"mouse",2,"glomerular epithelium"
"mouse",2,"right ear"
"mouse",2,"left ear"
"rat",2,"diaphysis"
"rat",2,"zone of long bone"
"mouse",2,"cortical thymic epithelial cell"
"human",2,"synovial fluid"
"mouse",2,"left ventricle myocardium"
"mouse",2,"interventricular septum"
"mouse",2,"abdominal fat pad"
"mouse",2,"retroperitoneal fat pad"
"mouse",2,"mesenteric fat pad"
"human",2,"flexor muscle"
"human",2,"forelimb zeugopod"
"rat",2,"ligament"
"rat",2,"late embryo"
"human",2,"haploid cell"
"human",2,"oral cavity"
"mouse",2,"myeloid dendritic cell"
"mouse",2,"decidua"
"human",2,"skin of limb"
"human",2,"forelimb skin"
"human",2,"hindlimb skin"
"human",2,"dorsal trunk"
"rat",2,"specifically dependent continuant"
"rat",2,"quality"
"rat",2,"physical object quality"
"rat",2,"cingulate cortex"
"rat",2,"limbic cortex"
"mouse",2,"seminal vesicle"
"mouse",2,"seminal fluid secreting gland"
"human",2,"foam cell"
"human",2,"smooth muscle cell of the pulmonary artery"
"mouse",2,"mammary stem cell"
"human",2,"somatic nervous system"
"human",2,"olfactory epithelium"
"human",2,"olfactory segment of nasal mucosa"
"human",2,"olfactory system"
"human",2,"chemosensory system"
"human",2,"sensory epithelium"
"human",2,"buccal mucosa"
"mouse",2,"neocortex basket cell"
"mouse",2,"locus ceruleus"
"mouse",2,"Muridae"
"mouse",2,"Mus <mouse, genus>"
"mouse",2,"Mus musculus"
"mouse",2,"Teleostomi"
"mouse",2,"Euteleostomi"
"mouse",2,"cellular organisms"
"mouse",2,"Dipnotetrapodomorpha"
"mouse",2,"Boreoeutheria"
"mouse",2,"Myomorpha"
"mouse",2,"Eukaryota"
"mouse",2,"Euarchontoglires"
"mouse",2,"Glires"
"mouse",2,"Tetrapoda"
"mouse",2,"Amniota"
"mouse",2,"Theria <Mammalia>"
"mouse",2,"Opisthokonta"
"mouse",2,"Metazoa"
"mouse",2,"Bilateria"
"mouse",2,"Deuterostomia"
"mouse",2,"Muroidea"
"mouse",2,"Murinae"
"mouse",2,"Mammalia"
"mouse",2,"Eumetazoa"
"mouse",2,"Chordata"
"mouse",2,"Vertebrata <Metazoa>"
"mouse",2,"Gnathostomata <vertebrate>"
"mouse",2,"Sarcopterygii"
"mouse",2,"Mus <mouse, subgenus>"
"mouse",2,"Craniata <chordata>"
"mouse",2,"Eutheria"
"mouse",2,"Rodentia"
"human",2,"ureter"
"mouse",2,"right cardiac atrium"
"mouse",2,"left cardiac atrium"
"human",2,"bone tissue"
"human",2,"lamellar bone"
"human",2,"trabecular bone tissue"
"human",2,"response to stimulus"
"mouse",2,"activated CD4-positive, alpha-beta T cell"
"rat",2,"membrane organ"
"human",2,"melanocyte of skin"
"human",2,"bronchial mucosa"
"mouse",2,"neck"
"mouse",2,"muscle of shoulder"
"mouse",2,"musculature of shoulder"
"mouse",2,"metanephros"
"mouse",2,"collecting duct of renal tubule"
"human",2,"steroid hormone secreting cell"
"human",2,"granulosa cell"
"human",2,"ovarian follicle"
"human",2,"hair follicle"
"human",2,"skin appendage follicle"
"human",2,"peripheral blood stem cell"
"mouse",2,"Cd4-negative, CD8_alpha-negative, CD11b-positive dendritic cell"
"human",2,"megakaryocyte progenitor cell"
"human",2,"mast cell"
"human",2,"T-helper 1 cell"
"human",2,"T-helper 2 cell"
"human",2,"basophil"
"human",2,"effector memory CD4-positive, alpha-beta T cell"
"human",2,"CD4-positive, CXCR3-negative, CCR6-negative, alpha-beta T cell"
"human",2,"histamine secreting cell"
"human",2,"semen"
"human",2,"axial muscle"
"human",2,"axial musculature"
"human",2,"cranial nerve nucleus"
"human",2,"cranial nerve"
"human",2,"dorsal motor nucleus of vagus nerve"
"human",2,"vagus nerve nucleus"
"human",2,"motor nucleus of vagal nerve"
"human",2,"nerve of head region"
"human",2,"muscle of pelvis"
"human",2,"muscle of pelvic girdle"
"human",2,"gluteal muscle"
"human",2,"musculature of pelvic girdle"
"human",2,"buttock"
"rat",2,"gland of digestive tract"
"human",2,"rib"
"human",2,"rib skeletal system"
"human",2,"rib endochondral element"
"human",2,"inguinal lymph node"
"human",2,"peripheral lymph node"
"human",2,"inguinal part of abdomen"
"mouse",2,"distal convoluted tubule"
"mouse",2,"distal tubule"
"mouse",2,"renal convoluted tubule"
"mouse",2,"colonic mucosa"
"human",2,"small pre-B-II cell"
"human",2,"pre-B-II cell"
"human",2,"pre-B-I cell"
"human",2,"large pre-B-II cell"
"rat",2,"placenta"
"mouse",2,"neural plate"
"human",2,"brush border epithelial cell"
"mouse",2,"endoderm"
"human",2,"pyloric antrum"
"mouse",2,"maturity"
"mouse",2,"mature"
"mouse",2,"organismal quality"
"human",2,"activated CD4-positive, alpha-beta T cell, human"
"human",2,"fibroblast of mammary gland"
"mouse",2,"crypt of Lieberkuhn of small intestine"
"rat",2,"growth plate cartilage"
"mouse",2,"left lung lobe"
"mouse",2,"epithelium of intestinal villus"
"rat",2,"cell in vitro"
"rat",2,"biliary tree"
"rat",2,"biliary system"
"rat",2,"bile duct"
"rat",2,"digestive system duct"
"human",2,"breast epithelium"
"human",2,"respiratory system fluid/secretion"
"human",2,"sputum"
"human",2,"double negative thymocyte"
"mouse",2,"egg cell"
"mouse",2,"female gamete"
"human",2,"pigmented epithelial cell"
"human",2,"pigmented ciliary epithelial cell"
"human",2,"multi-ciliated epithelial cell"
"mouse",2,"primitive red blood cell"
"mouse",2,"primitive erythroid lineage cell"
"mouse",2,"glandular acinus"
"mouse",2,"adenohypophysis"
"mouse",2,"melanocyte"
"human",2,"epicardium"
"human",2,"serous pericardium"
"human",2,"pericardial sac"
"human",2,"visceral serous pericardium"
"human",2,"mesothelium of pericardial cavity"
"human",2,"thoracic segment connective tissue"
"human",2,"mesothelium of serous pericardium"
"human",2,"subepicardial layer of epicardium"
"human",2,"epicardial fat"
"rat",2,"sac"
"mouse",2,"diaphysis of femur"
"mouse",2,"transudate"
"mouse",2,"secretion of serous gland"
"mouse",2,"tail skin"
"mouse",2,"caudal region"
"mouse",2,"post-anal tail"
"mouse",2,"fibroblast of lung"
"human",2,"epithelium of esophagus"
"human",2,"esophagus squamous epithelium"
"human",2,"2-cell stage embryo"
"human",2,"4-cell stage embryo"
"mouse",2,"cochlear ganglion"
"mouse",2,"vestibulocochlear ganglion"
"human",2,"umbilical artery endothelial cell"
"human",2,"pancreatic ductal cell"
"human",2,"epithelial cell of exocrine pancreas"
"human",2,"ventral pancreatic duct"
"mouse",2,"cerebellar stellate cell"
"mouse",2,"cerebellum basket cell"
"mouse",2,"humerus"
"mouse",2,"forelimb skeleton"
"mouse",2,"arm bone"
"mouse",2,"shoulder bone"
"mouse",2,"forelimb long bone"
"mouse",2,"upper arm bone"
"mouse",2,"pectoral appendage skeleton"
"mouse",2,"forelimb bone"
"mouse",2,"bone of pectoral complex"
"mouse",2,"skeleton of pectoral complex"
"mouse",2,"forelimb endochondral element"
"mouse",2,"humerus endochondral element"
"mouse",2,"dense mesenchyme tissue"
"mouse",2,"epithelial cell of stomach"
"human",2,"mesenchymal stem cell of Wharton's jelly"
"human",2,"ascitic fluid"
"human",2,"germ line stem cell"
"human",2,"syncytiotrophoblast cell"
"human",2,"double-positive, alpha-beta thymocyte"
"human",2,"CD4-positive, alpha-beta thymocyte"
"human",2,"circle of Willis"
"human",2,"intrahepatic bile duct"
"mouse",2,"macrophage dendritic cell progenitor"
"rat",2,"heart right ventricle"
"rat",2,"outflow tract"
"mouse",2,"presumptive gut"
"mouse",2,"foregut epithelium"
"human",2,"artery wall"
"human",2,"tunica media"
"human",2,"tunica intima"
"human",2,"blood vessel layer"
"human",2,"tunica intima of artery"
"human",2,"tunica media of artery"
"human",2,"mesothelial cell"
"mouse",2,"medial vestibular nucleus"
"mouse",2,"globus pallidus"
"mouse",2,"olfactory tubercle"
"mouse",2,"medial geniculate body"
"mouse",2,"cerebellar nuclear complex"
"mouse",2,"dorsal tegmental nucleus"
"mouse",2,"pontine nuclear group"
"mouse",2,"dorsal horn of spinal cord"
"mouse",2,"basal part of pons"
"mouse",2,"vestibular nuclear complex"
"mouse",2,"regional part of cerebellar cortex"
"mouse",2,"anterior amygdaloid area"
"mouse",2,"cerebellar vermis"
"mouse",2,"pallidum"
"mouse",2,"vestibular nucleus"
"mouse",2,"subparaventricular zone"
"mouse",2,"medial preoptic region"
"human",2,"wall of urinary bladder"
"human",2,"mucosa of urinary bladder"
"rat",2,"lymphocyte"
"human",2,"tarsal gland"
"human",2,"sebaceous gland"
"human",2,"skin gland"
"human",2,"eye sebaceous gland"
"human",2,"skin sebaceous gland"
"human",2,"head connective tissue"
"human",2,"eyelid connective tissue"
"human",2,"eye skin gland"
"human",2,"eyelid tarsus"
"human",2,"eye gland"
"human",2,"epidermis gland"
"human",2,"holocrine gland"
"human",2,"eyelid gland"
"human",2,"sebaceous gland of eyelid"
"human",2,"gland of ocular region"
"human",2,"modified sebaceous gland"
"human",2,"pulmonary artery endothelium"
"human",2,"myoepithelial cell"
"human",2,"myoepithelial cell of lactiferous gland"
"mouse",2,"hair follicle bulge"
"mouse",2,"early T lineage precursor"
"rat",2,"seventh thoracic spinal cord segment"
"human",2,"heart right ventricle"
"mouse",2,"uncondensed odontogenic mesenchyme"
"mouse",2,"head mesenchyme"
"mouse",2,"mesenchyme derived from head neural crest"
"mouse",2,"loose mesenchyme tissue"
"mouse",2,"tooth bud"
"mouse",2,"entire embryonic mesenchyme"
"mouse",2,"mesenchyme derived from neural crest"
"mouse",2,"B-1 B cell"
"mouse",2,"B-1a B cell"
"human",2,"epithelial cell of viscerocranial mucosa"
"human",2,"nasal cavity respiratory epithelium epithelial cell of viscerocranial mucosa"
"rat",2,"non-terminally differentiated cell"
"human",2,"acellular anatomical structure"
"human",2,"acellular membrane"
"human",2,"basement membrane of epithelium"
"human",2,"epidermal-dermal junction"
"mouse",2,"spinal cord medial motor column neuron"
"mouse",2,"smooth muscle myoblast"
"mouse",2,"memory B cell"
"human",2,"locus ceruleus"
"human",2,"pontine tegmentum"
"human",2,"auditory cortex"
"human",2,"primary auditory cortex"
"rat",2,"ulna"
"rat",2,"forelimb skeleton"
"rat",2,"forelimb zeugopod"
"rat",2,"arm bone"
"rat",2,"forelimb zeugopod bone"
"rat",2,"forelimb long bone"
"rat",2,"pectoral appendage skeleton"
"rat",2,"forelimb bone"
"rat",2,"forelimb zeugopod skeleton"
"rat",2,"bone of pectoral complex"
"rat",2,"skeleton of pectoral complex"
"rat",2,"ulna endochondral element"
"rat",2,"forelimb endochondral element"
"human",2,"articular chondrocyte"
"human",2,"knee joint"
"human",2,"articular cartilage of joint"
"human",2,"T cell activation"
"rat",2,"olfactory bulb"
"human",2,"Purkinje cell"
"human",2,"cerebellar neuron"
"mouse",2,"common carotid artery plus branches"
"mouse",2,"internal carotid artery"
"mouse",2,"middle cerebral artery"
"mouse",2,"circle of Willis"
"mouse",2,"cerebral artery"
"mouse",2,"carotid artery segment"
"human",2,"lumbar spinal cord"
"human",2,"lower back"
"mouse",2,"anatomical group"
"mouse",2,"presumptive embryonic/larval nervous system"
"mouse",2,"presumptive embryonic/larval central nervous system"
"mouse",2,"embryonic brain"
"mouse",2,"presumptive embryonic/larval system"
"mouse",2,"non-connected developing system"
"mouse",2,"cerebral cortex ventricular layer"
"human",2,"cortical plate"
"human",2,"cerebral cortex ventricular layer"
"human",2,"frontal pole"
"human",2,"pole of cerebral hemisphere"
"mouse",2,"intracellular"
"mouse",2,"intracellular organelle"
"mouse",2,"DN2a thymocyte"
"mouse",2,"DN2b thymocyte"
"mouse",2,"cell of skeletal muscle"
"mouse",2,"skeletal muscle satellite cell"
"human",2,"aorta wall"
"rat",2,"microvascular endothelial cell"
"rat",2,"brain microvascular endothelial cell"
"rat",2,"microvascular endothelium"
"rat",2,"penis"
"rat",2,"intromittent organ"
"human",2,"supramarginal gyrus"
"mouse",2,"cerebral cortex glial cell"
"human",2,"epithelium of small intestine"
"human",2,"mucosa of sigmoid colon"
"rat",2,"superior olivary complex"
"rat",2,"mechanosensory system"
"rat",2,"auditory system"
"mouse",2,"olfactory bulb subependymal zone"
"mouse",2,"immune system process"
"mouse",2,"immune system development"
"mouse",2,"hemopoiesis"
"mouse",2,"animal organ development"
"mouse",2,"hematopoietic or lymphoid organ development"
"mouse",2,"biological regulation"
"mouse",2,"regulation of biological quality"
"human",2,"sensory epithelial cell"
"human",2,"olfactory epithelial cell"
"human",2,"fibrous joint"
"human",2,"nonsynovial joint"
"human",2,"coelemic cavity lumen"
"human",2,"coelom"
"human",2,"left cardiac atrium"
"human",2,"abdomen blood vessel"
"human",2,"abdominal segment blood vessel"
"human",2,"vasculature of liver"
"human",2,"liver blood vessel"
"human",2,"mucosa of ascending colon"
"human",2,"naive regulatory T cell"
"mouse",2,"spinal nerve"
"human",2,"mononuclear cytotrophoblast cell"
"mouse",2,"pes"
"mouse",2,"hemangioblast"
"mouse",2,"epithelial cell of prostate"
"mouse",2,"luminal cell of prostate epithelium"
"mouse",2,"progenitor cell of endocrine pancreas"
"human",2,"endoderm"
"mouse",2,"immature natural killer cell"
"human",2,"renal pelvis"
"human",2,"anatomical junction"
"human",2,"rectosigmoid junction"
"human",2,"lymphoid lineage restricted progenitor cell"
"human",2,"CD34-positive, CD38-positive common myeloid progenitor OR CD34-positive, CD38-positive common lymphoid progenitor"
"human",2,"metamyelocyte"
"rat",2,"multicellular organismal process"
"human",2,"aorta endothelium"
"rat",2,"aortic smooth muscle cell"
"rat",2,"aorta smooth muscle tissue"
"rat",2,"blood vessel smooth muscle"
"rat",2,"arterial system smooth muscle"
"mouse",2,"hyaline cartilage tissue"
"human",2,"mucosa of cardia of stomach"
"rat",2,"sperm"
"rat",2,"ciliated cell"
"rat",2,"gamete"
"rat",2,"male gamete"
"mouse",2,"T2 B cell"
"mouse",2,"Slamf1-positive multipotent progenitor cell"
"human",2,"mammary gland connective tissue"
"human",2,"T-helper 17 cell"
"rat",2,"inner medulla of kidney"
"rat",2,"perinatal stage"
"mouse",2,"respiratory system blood vessel"
"mouse",2,"induced T-regulatory cell"
"human",2,"luminal cell of prostate epithelium"
"human",2,"basal cell of prostate epithelium"
"mouse",2,"promyelocyte"
"mouse",2,"granulocytopoietic cell"
"human",2,"CD14-low, CD16-positive monocyte"
"human",2,"CD14-positive, CD16-positive monocyte"
"mouse",2,"dentate gyrus granule cell layer"
"human",2,"cytotrophoblast"
"human",2,"myofibroblast cell"
"mouse",2,"effector memory CD8-positive, alpha-beta T cell"
"human",2,"cervix epithelium"
"rat",2,"spermatogonium"
"rat",2,"embryonic cell"
"rat",2,"embryonic stem cell"
"human",2,"developing mesenchymal condensation"
"human",2,"dense mesenchyme tissue"
"human",2,"cell condensation"
"mouse",2,"cellular quality"
"mouse",2,"right cerebral hemisphere"
"mouse",2,"mammary gland connective tissue"
"mouse",2,"heart right ventricle"
"mouse",2,"surfactant secreting cell"
"mouse",2,"pneumocyte"
