"et.Val","ee.Taxon","N"
"RAD14 [yeast] Rad14p","yeast",1
"TPK1 [yeast] Tpk1p","yeast",1
"YAK1 [yeast] Yak1p","yeast",1
"TPK3 [yeast] Tpk3p","yeast",1
"TPK2 [yeast] Tpk2p","yeast",1
"FAR1 [yeast] Far1p","yeast",1
"EDC3 [yeast] Edc3p","yeast",1
"GPA2 [yeast] Gpa2p","yeast",1
"Fusion Protein Expression","yeast",1
"CYC8 [yeast] Cyc8p","yeast",1
"PDR1 [yeast] Pdr1p","yeast",1
"SIN3 [yeast] Sin3p","yeast",1
"Pph13","fly",1
"orthodenticle","fly",1
"cyc [fly] cycle","fly",1
"ABF1 [yeast] Abf1p","yeast",1
"RAP1 [yeast] Rap1p","yeast",1
"HHT2 [yeast] histone H3","yeast",1
"HHF2 [yeast] histone H4","yeast",1
"HTB2 [yeast] Htb2p","yeast",1
"Unpaired","fly",1
"Knockdown","fly",1
"Canton S","fly",1
"dicer1 [zebrafish] Dicer1, Dcr-1 homolog (Drosophila)","zebrafish",1
"rad21a [zebrafish] RAD21 homolog (S. pombe) a","zebrafish",1
"sox19a [zebrafish] SRY-box containing gene 19a","zebrafish",1
"sox3 [zebrafish] SRY-box containing gene 3","zebrafish",1
"sox19b [zebrafish] SRY-box containing gene 19b","zebrafish",1
"tbx16 [zebrafish] T-box gene 16","zebrafish",1
"hif1ab [zebrafish] hypoxia-inducible factor 1, alpha subunit (basic helix-loop-helix transcription factor) b","zebrafish",1
"sart3 [zebrafish] squamous cell carcinoma antigen recognised by T cells 3","zebrafish",1
"pbx4 [zebrafish] pre-B-cell leukemia transcription factor 4","zebrafish",1
"pbx2 [zebrafish] pre-B-cell leukemia transcription factor 2","zebrafish",1
"esr2a [zebrafish] estrogen receptor 2a","zebrafish",1
"mir126a [zebrafish] microRNA 126a","zebrafish",1
"zfp-1 [worm] Protein ZFP-1","worm",1
"rde-4 [worm] Protein RDE-4","worm",1
"alg-1 [worm] Protein ALG-1","worm",1
"abnormal dosage compensation, by inactivation of X chromosome","worm",1
"dpy-27 [worm] Protein DPY-27","worm",1
"her-1 [worm] Protein HER-1","worm",1
"xol-1 [worm] Protein XOL-1","worm",1
"sdc-2 [worm] Protein SDC-2","worm",1
"unc-9 [worm] Protein UNC-9","worm",1
"growth regulator","worm",1
"sma-6 [worm] Protein SMA-6","worm",1
"dbl-1 [worm] Protein DBL-1","worm",1
"mutation","worm",1
"fer-1 [worm] Protein FER-1","worm",1
"gld-1 [worm] Protein GLD-1","worm",1
"wild type genotype","worm",1
"recombinationally_rearranged","worm",1
"N2","worm",1
"CB4856","worm",1
"crh-1 [worm] Protein CRH-1","worm",1
"tax-6 [worm] Protein TAX-6","worm",1
"aak-2 [worm] Protein AAK-2","worm",1
"daf-19 [worm] Protein DAF-19","worm",1
"daf-12 [worm] Protein DAF-12","worm",1
"jun-1 [worm] Protein JUN-1","worm",1
"kgb-1 [worm] Protein KGB-1","worm",1
"recombinant plasmid","worm",1
"hlh-2 [worm] Protein HLH-2","worm",1
"hlh-8 [worm] Protein HLH-8","worm",1
"egl-15 [worm] Protein EGL-15","worm",1
"nep-1 [worm] Protein NEP-1","worm",1
"hrg-2 [worm] Protein HRG-2","worm",1
"hrg-2 [worm] Heme Responsive Gene","worm",1
"RNA interference","worm",1
"spg-7 [worm] AFG3-like protein spg-7","worm",1
"atfs-1 [worm] Protein ATFS-1","worm",1
"Heterozygous","worm",1
"hlh-1 [worm] Myoblast determination protein 1 homolog","worm",1
"gas-1 [worm] Protein GAS-1","worm",1
"xpa-1 [worm] Protein XPA-1","worm",1
"IFNL4 [human] interferon, lambda 4 (gene/pseudogene)","human",1
"Pla2g4a [mouse] phospholipase A2, group IVA (cytosolic, calcium-dependent)","mouse",1
"PDE1C [human] phosphodiesterase 1C, calmodulin-dependent 70kDa","human",1
"Sra1 [mouse] steroid receptor RNA activator 1","mouse",1
"Trnp1 [mouse] TMF1-regulated nuclear protein 1","mouse",1
"ERG [human] v-ets avian erythroblastosis virus E26 oncogene homolog","mouse",1
"TMPRSS2 [human] transmembrane protease, serine 2","mouse",1
"Tbx20 [mouse] T-box 20","mouse",1
"SMC3 [human] structural maintenance of chromosomes 3","human",1
"MED12 [human] mediator complex subunit 12","human",1
"Mbnl1 [mouse] muscleblind-like 1 (Drosophila)","mouse",1
"OGT [human] O-linked N-acetylglucosamine (GlcNAc) transferase","human",1
"CCDC86 [human] coiled-coil domain containing 86","human",1
"Terf2ip [mouse] telomeric repeat binding factor 2, interacting protein","mouse",1
"Cd44 [mouse] CD44 antigen","mouse",1
"rde-1 [worm] Protein RDE-1","worm",1
"LEPR [human] leptin receptor","mouse",1
"FOXO3 [human] forkhead box O3","mouse",1
"Txnrd1 [mouse] thioredoxin reductase 1","mouse",1
"CLN3 [yeast] Cln3p","yeast",1
"CLN1 [yeast] Cln1p","yeast",1
"CDC55 [yeast] Cdc55p","yeast",1
"LMO3 [human] LIM domain only 3 (rhombotin-like 2)","human",1
"GAST [human] gastrin","mouse",1
"pafah1b1a [zebrafish] platelet-activating factor acetylhydrolase, isoform Ib, alpha subunit a","zebrafish",1
"pafah1b1b [zebrafish] platelet-activating factor acetylhydrolase, isoform Ib, alpha subunit b","zebrafish",1
"nfe2l2b [zebrafish] nuclear factor (erythroid-derived 2)-like 2b","zebrafish",1
"nfe2l2a [zebrafish] nuclear factor (erythroid-derived 2)-like 2a","zebrafish",1
"Tnfrsf12a [mouse] tumor necrosis factor receptor superfamily, member 12a","mouse",1
"mir34 [zebrafish] microRNA 34","zebrafish",1
"Rrp8 [mouse] ribosomal RNA processing 8, methyltransferase, homolog (yeast)","mouse",1
"TRA1 [yeast] Tra1p","yeast",1
"IGHV@ [human] immunoglobulin heavy variable cluster","human",1
"Il17rc [mouse] interleukin 17 receptor C","mouse",1
"MIR100 [human] microRNA 100","human",1
"MIR99A [human] microRNA 99a","human",1
"N-terminal 121 amino acid truncation mutation","mouse",1
"Timp2 [mouse] tissue inhibitor of metalloproteinase 2","mouse",1
"Timp3 [mouse] tissue inhibitor of metalloproteinase 3","mouse",1
"aneuploidy","mouse",1
"aneuploid","mouse",1
"Cnga3 [mouse] cyclic nucleotide gated channel alpha 3","mouse",1
"Cngb3 [mouse] cyclic nucleotide gated channel beta 3","mouse",1
"Suv39h1 locus homozygous negative","mouse",1
"CLB4 [yeast] Clb4p","yeast",1
"CLB3 [yeast] Clb3p","yeast",1
"CLB1 [yeast] Clb1p","yeast",1
"CLB6 [yeast] Clb6p","yeast",1
"CLB2 [yeast] Clb2p","yeast",1
"CLB5 [yeast] Clb5p","yeast",1
"TOD6 [yeast] Tod6p","yeast",1
"DOT6 [yeast] Dot6p","yeast",1
"SCH9 [yeast] Sch9p","yeast",1
"PTC1 [yeast] Ptc1p","yeast",1
"SLT2 [yeast] Slt2p","yeast",1
"MSS11 [yeast] Mss11p","yeast",1
"FLO8 [yeast] Flo8p","yeast",1
"SWI6 [yeast] Swi6p","yeast",1
"PNC1 [yeast] nicotinamidase","yeast",1
"TNA1 [yeast] Tna1p","yeast",1
"BNA1 [yeast] Bna1p","yeast",1
"NPT1 [yeast] nicotinate phosphoribosyltransferase","yeast",1
"NAB2 [yeast] Nab2p","yeast",1
"CCT6 [yeast] Cct6p","yeast",1
"TCP1 [yeast] Tcp1p","yeast",1
"CCT7 [yeast] Cct7p","yeast",1
"CCT3 [yeast] Cct3p","yeast",1
"CCT8 [yeast] Cct8p","yeast",1
"CCT5 [yeast] Cct5p","yeast",1
"CCT2 [yeast] Cct2p","yeast",1
"haploid","yeast",1
"diploid","yeast",1
"SIP1 [yeast] Sip1p","yeast",1
"SIP2 [yeast] Sip2p","yeast",1
"GAL83 [yeast] Gal83p","yeast",1
"SWR1 [yeast] Swr1p","yeast",1
"VPS72 [yeast] Vps72p","yeast",1
"SWC5 [yeast] Swc5p","yeast",1
"HTZ1 [yeast] Htz1p","yeast",1
"NUP60 [yeast] Nup60p","yeast",1
"ADA2 [yeast] Ada2p","yeast",1
"HFA1 [yeast] acetyl-CoA carboxylase HFA1","yeast",1
"ACC1 [yeast] acetyl-CoA carboxylase ACC1","yeast",1
"TOP1 [yeast] DNA topoisomerase 1","yeast",1
"TOP2 [yeast] DNA topoisomerase 2","yeast",1
"CDC4 [yeast] SCF ubiquitin ligase complex subunit CDC4","yeast",1
"CDC53 [yeast] cullin CDC53","yeast",1
"CDC34 [yeast] SCF E2 ubiquitin-protein ligase catalytic subunit CDC34","yeast",1
"SKP1 [yeast] Skp1p","yeast",1
"MET30 [yeast] Met30p","yeast",1
"Cd47 [mouse] CD47 antigen (Rh-related antigen, integrin-associated signal transducer)","mouse",1
"Cxcr4 [mouse] chemokine (C-X-C motif) receptor 4","mouse",1
"Ubi-p63E [fly] Ubiquitin-63E","fly",1
"sa [fly] spermatocyte arrest","fly",1
"aly [fly] always early","fly",1
"Ifnar2 [mouse] interferon (alpha and beta) receptor 2","mouse",1
"KCNJ5 [human] potassium inwardly-rectifying channel, subfamily J, member 5","human",1
"ATP1A1 [human] ATPase, Na+/K+ transporting, alpha 1 polypeptide","human",1
"CACNA1D [human] calcium channel, voltage-dependent, L type, alpha 1D subunit","human",1
"PTTG1 [human] pituitary tumor-transforming 1","human",1
"ARF1 [human] ADP-ribosylation factor 1","human",1
"ovo [fly] CG6824 gene product from transcript CG6824-RE","fly",1
"Arr2 [fly] Arrestin 2","fly",1
"Lmo2 [mouse] LIM domain only 2","mouse",1
"PHO2 [yeast] Pho2p","yeast",1
"BAS1 [yeast] Bas1p","yeast",1
"GCR2 [yeast] Gcr2p","yeast",1
"plasmid","yeast",1
"SMC2 [yeast] condensin subunit SMC2","yeast",1
"HTA2 [yeast] Hta2p","yeast",1
"SNU66 [yeast] Snu66p","yeast",1
"MEK1 [yeast] Mek1p","yeast",1
"TOR1 [yeast] Tor1p","yeast",1
"SUB2 [yeast] Sub2p","yeast",1
"HPR1 [yeast] Hpr1p","yeast",1
"THO2 [yeast] Tho2p","yeast",1
"SOD1 [yeast] Sod1p","yeast",1
"EPCAM [human] epithelial cell adhesion molecule","human",1
"GCN5 [yeast] Gcn5p","yeast",1
"HAC1 [yeast] Hac1p","yeast",1
"ECO1 [yeast] Eco1p","yeast",1
"SCC2 [yeast] Scc2p","yeast",1
"MDS3 [yeast] Mds3p","yeast",1
"PMA1 [yeast] H(+)-exporting P2-type ATPase PMA1","yeast",1
"MKT1 [yeast] Mkt1p","yeast",1
"SWI3 [yeast] Swi3p","yeast",1
"RLM1 [yeast] Rlm1p","yeast",1
"EML4 [human] echinoderm microtubule associated protein like 4","human",1
"Vav2 [mouse] vav 2 oncogene","mouse",1
"Vav3 [mouse] vav 3 oncogene","mouse",1
"Tns2 [mouse] tensin 2","mouse",1
"FOXA2 [human] forkhead box A2","human",1
"BCAR1 [human] breast cancer anti-estrogen resistance 1","human",1
"Ppp2cb [mouse] protein phosphatase 2 (formerly 2A), catalytic subunit, beta isoform","mouse",1
"ARR1 [yeast] Arr1p","yeast",1
"ERG5 [yeast] C-22 sterol desaturase","yeast",1
"RAS2 [yeast] Ras2p","yeast",1
"FLO11 [yeast] Flo11p","yeast",1
"PDR5 [yeast] ATP-binding cassette multidrug transporter PDR5","yeast",1
"vehicle","yeast",1
"BMH2 [yeast] Bmh2p","yeast",1
"HDA1 [yeast] Hda1p","yeast",1
"BMH1 [yeast] Bmh1p","yeast",1
"tM(CAU)C [yeast] tRNA","yeast",1
"tH(GUG)G1 [yeast] tRNA","yeast",1
"tL(GAG)G [yeast] tRNA","yeast",1
"HSX1 [yeast] tRNA","yeast",1
"tR(UCU)M2 [yeast] tRNA","yeast",1
"NUT1 [yeast] Nut1p","yeast",1
"GAL11 [yeast] Gal11p","yeast",1
"SIN4 [yeast] Sin4p","yeast",1
"G  glycoprotein [Spring viraemia of carp virus]","zebrafish",1
"G  glycoprotein [Viral hemorrhagic septicemia virus Fil3]","zebrafish",1
"Vector","zebrafish",1
"Prdm4 [mouse] PR domain containing 4","mouse",1
"Su(var)205 [fly] Suppressor of variegation 205","fly",1
"Pof [fly] Painting of fourth","fly",1
"egg [fly] eggless","fly",1
"Su(var)3-9 [fly] Suppressor of variegation 3-9","fly",1
"BRCA1P1 [human] BRCA1 pseudogene 1","human",1
"Aldh1a2 [mouse] aldehyde dehydrogenase family 1, subfamily A2","mouse",1
"Per2 [mouse] period circadian clock 2","mouse",1
"Adipoq [mouse] adiponectin, C1Q and collagen domain containing","mouse",1
"HNRNPA1 [human] heterogeneous nuclear ribonucleoprotein A1","human",1
"HNRNPM [human] heterogeneous nuclear ribonucleoprotein M","human",1
"Grm5 [mouse] glutamate receptor, metabotropic 5","mouse",1
"nr3c1 [zebrafish] nuclear receptor subfamily 3, group C, member 1 (glucocorticoid receptor)","zebrafish",1
"Hras [rat] HRas proto-oncogene, GTPase","rat",1
"SRSF2 [human] serine/arginine-rich splicing factor 2","human",1
"Ifnlr1 [mouse] interferon lambda receptor 1","mouse",1
"Scarb1 [mouse] scavenger receptor class B, member 1","mouse",1
"Pdx1 [rat] pancreatic and duodenal homeobox 1","rat",1
"Glb1 [rat] galactosidase, beta 1","rat",1
"MSN5 [yeast] Msn5p","yeast",1
"MTR10 [yeast] Mtr10p","yeast",1
"VHL [human] von Hippel-Lindau tumor suppressor","mouse",1
"Zbtb17 [mouse] zinc finger and BTB domain containing 17","mouse",1
"Gba (-/D409V)","mouse",1
"nub [fly] nubbin","fly",1
"SETBP1 [human] SET binding protein 1","human",1
"KDM4C [human] lysine (K)-specific demethylase 4C","human",1
"CLDN2 [human] claudin 2","mouse",1
"Casp1 [mouse] caspase 1","mouse",1
"AFF2 [human] AF4/FMR2 family, member 2","human",1
"AFF4 [human] AF4/FMR2 family, member 4","human",1
"AFF3 [human] AF4/FMR2 family, member 3","human",1
"TVA overexpression Cdkn2a knockout","mouse",1
"TVA [quail] subgroup A avian leukosis virus receptor","mouse",1
"Rictor [mouse] RPTOR independent companion of MTOR, complex 2","mouse",1
"PRKCDBP [human] protein kinase C, delta binding protein","human",1
"CYP19A1 [human] cytochrome P450, family 19, subfamily A, polypeptide 1","human",1
"IPMK [human] inositol polyphosphate multikinase","human",1
"ZXDC [human] ZXD family zinc finger C","human",1
"Hmgb1 [mouse] high mobility group box 1","mouse",1
"HOXA1 [human] homeobox A1","human",1
"Drosha [mouse] drosha, ribonuclease type III","mouse",1
"Tmprss6 [mouse] transmembrane serine protease 6","mouse",1
"LAMC2 [human] laminin, gamma 2","human",1
"USV1 [yeast] Usv1p","yeast",1
"Ago4 [mouse] argonaute RISC catalytic subunit 4","mouse",1
"B6.Cg-Tg(SOD1-G93A)1Gur/J","mouse",1
"ZAP70 [human] zeta-chain (TCR) associated protein kinase 70kDa","human",1
"Cirbp [mouse] cold inducible RNA binding protein","mouse",1
"Rbm3 [mouse] RNA binding motif protein 3","mouse",1
"Tbx21 [mouse] T-box 21","mouse",1
"Taf3 [mouse] TAF3 RNA polymerase II, TATA box binding protein (TBP)-associated factor","mouse",1
"EPAS1 [human] endothelial PAS domain protein 1","mouse",1
"signal transducer and activator of transcription 5 protein inhibitor","mouse",1
"basal cell","mouse",1
"luminal cell of prostate epithelium","mouse",1
"Mirlet7g [mouse] microRNA let7g","mouse",1
"utx-1 [worm] Protein UTX-1","worm",1
"Snca [rat] synuclein, alpha (non A4 component of amyloid precursor)","rat",1
"Tppp [rat] tubulin polymerization promoting protein","rat",1
"VTRNA2-1 [human] vault RNA 2-1","human",1
"mes-4 [worm] Protein MES-4","worm",1
"trisomy","human",1
"Human chromosome 10","human",1
"Human chromosome 4","human",1
"Nfkb2 [mouse] nuclear factor of kappa light polypeptide gene enhancer in B cells 2, p49/p100","mouse",1
"Stat2 [mouse] signal transducer and activator of transcription 2","mouse",1
"Traf1 [mouse] TNF receptor-associated factor 1","mouse",1
"Nkd2 [mouse] naked cuticle 2 homolog (Drosophila)","mouse",1
"Baz1a [mouse] bromodomain adjacent to zinc finger domain 1A","mouse",1
"Acf1 [fly] ATP-dependent chromatin assembly factor large subunit","mouse",1
"OSR1 [human] odd-skipped related 1 (Drosophila)","human",1
"HOXC4 [human] homeobox C4","human",1
"PRRX1 [human] paired related homeobox 1","human",1
"LHX9 [human] LIM homeobox 9","human",1
"TBX3 [human] T-box 3","human",1
"Sdhd [mouse] succinate dehydrogenase complex, subunit D, integral membrane protein","mouse",1
"NOD2 [human] nucleotide-binding oligomerization domain containing 2","human",1
"Cdkn1b [rat] cyclin-dependent kinase inhibitor 1B","rat",1
"NR2C2 [human] nuclear receptor subfamily 2, group C, member 2","human",1
"HDAC7 [human] histone deacetylase 7","mouse",1
"Hdac7 [mouse] histone deacetylase 7","mouse",1
"D1Pas1 [mouse] DNA segment, Chr 1, Pasteur Institute 1","mouse",1
"Parp1 [mouse] poly (ADP-ribose) polymerase family, member 1","mouse",1
"Cdyl [mouse] chromodomain protein, Y chromosome-like","mouse",1
"Ctbp2 [mouse] C-terminal binding protein 2","mouse",1
"Phc1 [mouse] polyhomeotic 1","mouse",1
"Fgfbp1 [mouse] fibroblast growth factor binding protein 1","mouse",1
"Gabpa [mouse] GA repeat binding protein, alpha","mouse",1
"Gbx2 [mouse] gastrulation brain homeobox 2","mouse",1
"Hells [mouse] helicase, lymphoid specific","mouse",1
"Hmga1 [mouse] high mobility group AT-hook 1","mouse",1
"Inppl1 [mouse] inositol polyphosphate phosphatase-like 1","mouse",1
"Klf2 [mouse] Kruppel-like factor 2 (lung)","mouse",1
"Mycl [mouse] v-myc avian myelocytomatosis viral oncogene lung carcinoma derived","mouse",1
"Aff1 [mouse] AF4/FMR2 family, member 1","mouse",1
"Ncl [mouse] nucleolin","mouse",1
"Ell2 [mouse] elongation factor RNA polymerase II 2","mouse",1
"Sub1 [mouse] SUB1 homolog (S. cerevisiae)","mouse",1
"Sox15 [mouse] SRY (sex determining region Y)-box 15","mouse",1
"Tbl1x [mouse] transducin (beta)-like 1 X-linked","mouse",1
"Utf1 [mouse] undifferentiated embryonic cell transcription factor 1","mouse",1
"Dmrt2 [mouse] doublesex and mab-3 related transcription factor 2","mouse",1
"Zfp42 [mouse] zinc finger protein 42","mouse",1
"Zfp57 [mouse] zinc finger protein 57","mouse",1
"Tlk1 [mouse] tousled-like kinase 1","mouse",1
"Grhl2 [mouse] grainyhead like transcription factor 2","mouse",1
"Zfp292 [mouse] zinc finger protein 292","mouse",1
"Zscan10 [mouse] zinc finger and SCAN domain containing 10","mouse",1
"Txlng [mouse] taxilin gamma","mouse",1
"Pdlim1 [mouse] PDZ and LIM domain 1 (elfin)","mouse",1
"Dnmt3l [mouse] DNA (cytosine-5-)-methyltransferase 3-like","mouse",1
"Mkrn1 [mouse] makorin, ring finger protein, 1","mouse",1
"Sap30 [mouse] sin3 associated polypeptide","mouse",1
"Nacc1 [mouse] nucleus accumbens associated 1, BEN and BTB (POZ) domain containing","mouse",1
"Srsf6 [mouse] serine/arginine-rich splicing factor 6","mouse",1
"Rpap1 [mouse] RNA polymerase II associated protein 1","mouse",1
"Elf2 [mouse] E74-like factor 2","mouse",1
"Prdm5 [mouse] PR domain containing 5","mouse",1
"Cdc5l [mouse] cell division cycle 5-like (S. pombe)","mouse",1
"Dppa2 [mouse] developmental pluripotency associated 2","mouse",1
"Dppa3 [mouse] developmental pluripotency-associated 3","mouse",1
"Cdyl2 [mouse] chromodomain protein, Y chromosome-like 2","mouse",1
"Kdm4c [mouse] lysine (K)-specific demethylase 4C","mouse",1
"Tfcp2l1 [mouse] transcription factor CP2-like 1","mouse",1
"Tfap4 [mouse] transcription factor AP4","mouse",1
"Mgmt [mouse] O-6-methylguanine-DNA methyltransferase","mouse",1
"Wnt1 [mouse] wingless-type MMTV integration site family, member 1","human",1
"Mir1a-1 [mouse] microRNA 1a-1","mouse",1
"Mir22 [mouse] microRNA 22","mouse",1
"Mir145a [mouse] microRNA 145a","mouse",1
"Mirlet7b [mouse] microRNA let7b","mouse",1
"USP2 [human] ubiquitin specific peptidase 2","human",1
"NUP62 [human] nucleoporin 62","human",1
"CASP8AP2 [human] caspase 8 associated protein 2","human",1
"db/db mutation","mouse",1
"E2f8 [mouse] E2F transcription factor 8","mouse",1
"E2f7 [mouse] E2F transcription factor 7","mouse",1
"Itga6 [mouse] integrin alpha 6","mouse",1
"TPO [human] thyroid peroxidase","human",1
"JMJD6 [human] arginine demethylase and lysine hydroxylase","human",1
"Eif4h [mouse] eukaryotic translation initiation factor 4H","mouse",1
"Sumf1 [mouse] sulfatase modifying factor 1","mouse",1
"Brwd1 [mouse] bromodomain and WD repeat domain containing 1","mouse",1
"TICAM1 [human] toll like receptor adaptor molecule 1","human",1
"SPIB [human] Spi-B transcription factor","human",1
"ALCAM [human] activated leukocyte cell adhesion molecule","human",1
"IgM B cell receptor complex","mouse",1
"IgM deficiency","mouse",1
"Foxn1 [mouse] forkhead box N1","mouse",1
"L1TD1 [human] LINE-1 type transposase domain containing 1","human",1
"MIR20A [human] microRNA 20a","human",1
"MIR671 [human] microRNA 671","human",1
"GNAQ [human] G protein subunit alpha q","human",1
"GPR180 [human] G protein-coupled receptor 180","human",1
"LNX2 [human] ligand of numb-protein X 2","human",1
"DIS3 [human] DIS3 exosome endoribonuclease and 3'-5' exoribonuclease","human",1
"POLR1D [human] polymerase (RNA) I polypeptide D, 16kDa","human",1
"POMP [human] proteasome maturation protein","human",1
"SLC7A1 [human] solute carrier family 7 (cationic amino acid transporter, y+ system), member 1","human",1
"NUPL1 [human] nucleoporin like 1","human",1
"Capn3 [mouse] calpain 3","mouse",1
"KIT [human] v-kit Hardy-Zuckerman 4 feline sarcoma viral oncogene homolog","mouse",1
"Gusb [mouse] glucuronidase, beta","mouse",1
"Histidine(6)-tagged Myc","mouse",1
"Nlrc4 [mouse] NLR family, CARD domain containing 4","mouse",1
"HTT [human] huntingtin","human",1
"CAG repeat","human",1
"Nanos3 [mouse] nanos homolog 3 (Drosophila)","mouse",1
"Creld1 [mouse] cysteine-rich with EGF-like domains 1","mouse",1
"Relb [mouse] avian reticuloendotheliosis viral (v-rel) oncogene related B","mouse",1
"congenic strain","mouse",1
"Ogg1 [mouse] 8-oxoguanine DNA-glycosylase 1","mouse",1
"gp130","mouse",1
"Parn [mouse] poly(A)-specific ribonuclease (deadenylation nuclease)","mouse",1
"LOC100290036 [human] immunglobulin heavy chain variable region","human",1
"Prkaa2 [mouse] protein kinase, AMP-activated, alpha 2 catalytic subunit","mouse",1
"PBRM1 [human] polybromo 1","human",1
"scid/scid mutation","mouse",1
"Prkdc [mouse] protein kinase, DNA activated, catalytic polypeptide","mouse",1
"Gad1 [mouse] glutamate decarboxylase 1","mouse",1
"Ets1 [mouse] E26 avian leukemia oncogene 1, 5' domain","mouse",1
"GREB1 [human] growth regulating estrogen receptor binding 1","human",1
"interferon receptor activity","mouse",1
"LEF1 [human] lymphoid enhancer binding factor 1","human",1
"CDK19 [human] cyclin-dependent kinase 19","human",1
"Stzid [mouse] streptozotocin induced diabetes susceptibility","mouse",1
"RNF40 [human] ring finger protein 40","human",1
"Mttp [mouse] microsomal triglyceride transfer protein","mouse",1
"TBK1 [human] TANK binding kinase 1","human",1
"Cfhr1 [mouse] complement factor H-related 1","mouse",1
"Smc6 [mouse] structural maintenance of chromosomes 6","mouse",1
"NBN [human] nibrin","human",1
"HBEGF [human] heparin-binding EGF-like growth factor","mouse",1
"Med1 [mouse] mediator complex subunit 1","mouse",1
"Ncoa6 [mouse] nuclear receptor coactivator 6","mouse",1
"Maml3 [mouse] mastermind like 3 (Drosophila)","mouse",1
"Nsun2 [mouse] NOL1/NOP2/Sun domain family member 2","mouse",1
"TLE1 [human] transducin like enhancer of split 1","human",1
"kras [zebrafish] v-Ki-ras2 Kirsten rat sarcoma viral oncogene homolog","zebrafish",1
"Pgr [mouse] progesterone receptor","mouse",1
"Ctsg [mouse] cathepsin G","mouse",1
"NR1I3 [human] nuclear receptor subfamily 1, group I, member 3","mouse",1
"Pcbp1 [mouse] poly(rC) binding protein 1","mouse",1
"WFS1 [human] wolframin ER transmembrane glycoprotein","human",1
"SNAI3 [human] snail family zinc finger 3","human",1
"lung","mouse",1
"FGFR3 [human] fibroblast growth factor receptor 3","human",1
"Tab1 [mouse] TGF-beta activated kinase 1/MAP3K7 binding protein 1","mouse",1
"Irf7 [mouse] interferon regulatory factor 7","mouse",1
"double mutation","human",1
"ASXL1 [human] additional sex combs like 1 (Drosophila)","human",1
"TET2 [human] tet methylcytosine dioxygenase 2","human",1
"AGO3 [human] argonaute 3, RISC catalytic component","human",1
"AGO4 [human] argonaute 4, RISC catalytic component","human",1
"AGO1 [human] argonaute 1, RISC catalytic component","human",1
"AGO2 [human] argonaute RISC catalytic component 2","human",1
"Casp8 [mouse] caspase 8","mouse",1
"Prdm14 [mouse] PR domain containing 14","mouse",1
"TERC [human] telomerase RNA component","human",1
"Pln [mouse] phospholamban","mouse",1
"Tpm1 [mouse] tropomyosin 1, alpha","mouse",1
"Notch1 [mouse] Notch gene homolog 1 (Drosophila)","fly",1
"ab [fly] abrupt","fly",1
"scrib [fly] scribbled","fly",1
"bsk [fly] basket","fly",1
"Nlrp3 [mouse] NLR family, pyrin domain containing 3","mouse",1
"Pycard [mouse] PYD and CARD domain containing","mouse",1
"Zfy1 [mouse] zinc finger protein 1, Y linked","mouse",1
"Zfy2 [mouse] zinc finger protein 2, Y linked","mouse",1
"Eif2s3y [mouse] eukaryotic translation initiation factor 2, subunit 3, structural gene Y-linked","mouse",1
"Mir135b [mouse] microRNA 135b","mouse",1
"ALKBH4 [human] alkB, alkylation repair homolog 4 (E. coli)","human",1
"ALKBH7 [human] alkB, alkylation repair homolog 7 (E. coli)","human",1
"Notch1 [mouse] Notch gene homolog 1 (Drosophila)","human",1
"MAP3K14 [human] mitogen-activated protein kinase kinase kinase 14","human",1
"VEGFB [human] vascular endothelial growth factor B","rat",1
"Bmx [mouse] BMX non-receptor tyrosine kinase","mouse",1
"MIR199A1 [human] microRNA 199a-1","human",1
"LPL [human] lipoprotein lipase","human",1
"Abcb1a [rat] ATP binding cassette subfamily B member 1A","rat",1
"Abcc2 [rat] ATP binding cassette subfamily C member 2","rat",1
"Abcg2 [rat] ATP-binding cassette, subfamily G (WHITE), member 2","rat",1
"Hand2 [mouse] heart and neural crest derivatives expressed transcript 2","mouse",1
"Myocd [mouse] myocardin","mouse",1
"Adamts5 [mouse] a disintegrin-like and metallopeptidase (reprolysin type) with thrombospondin type 1 motif, 5 (aggrecanase-2)","mouse",1
"Kras G12D mutation","mouse",1
"Trp53 R172H mutation","mouse",1
"JIL-1 [fly] CG6297 gene product from transcript CG6297-RC","fly",1
"Ifih1 [mouse] interferon induced with helicase C domain 1","mouse",1
"Kras (G12D/+) Trp53 (-/-)","mouse",1
"KRAS [human] v-Ki-ras2 Kirsten rat sarcoma viral oncogene homolog","mouse",1
"1638N/+","mouse",1
"WRN [human] Werner syndrome RecQ like helicase","human",1
"Lrp6 [mouse] low density lipoprotein receptor-related protein 6","mouse",1
"Grhl3 [mouse] grainyhead-like 3 (Drosophila)","mouse",1
"Vangl2 [mouse] vang-like 2 (van gogh, Drosophila)","mouse",1
"Rhoa [mouse] ras homolog family member A","mouse",1
"Rhob [mouse] ras homolog family member B","mouse",1
"Rhoc [mouse] ras homolog family member C","mouse",1
"DHX36 [human] DEAH-box helicase 36","human",1
"ERBB2 [human] v-erb-b2 erythroblastic leukemia viral oncogene homolog 2, neuro/glioblastoma derived oncogene homolog (avian)","mouse",1
"Cybb [mouse] cytochrome b-245, beta polypeptide","mouse",1
"NKX2-8 [human] NK2 homeobox 8","human",1
"PAX9 [human] paired box 9","human",1
"NTRK3 [human] neurotrophic receptor tyrosine kinase 3","mouse",1
